rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class
95057330,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
98119841,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
98703425,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
101362528,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
102080325,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
104429196,256,9418629,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,2166916,-154.754,safe_playable
105480240,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
134463422,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
134604342,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
134756662,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
135417625,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
135648946,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687,aggressive_blob
136355280,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
138638052,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
139850194,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
140652595,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
140891925,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619,safe_playable
141150119,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected
500809893,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
503872404,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
504455988,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
507115091,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
507832888,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
510181759,256,9418629,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,2166916,-154.754,safe_playable
511232803,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
540215985,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
540356905,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
540509225,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
541170188,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
541401509,340,227126786,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,13696505,-1466.687,aggressive_blob
542107843,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
544390615,136,29910272,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,108027,105.347,rejected
545602757,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
546405158,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
546644488,340,861900073,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,410358,70.619,safe_playable
546902682,256,29914601,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,112356,104.819,rejected
905888616,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
908927229,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
909512894,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
912159860,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
912874311,136,861502621,1,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,861489715,865487411,12906,119.137,safe_playable
915212196,256,36207360,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,3276729,-295.635,ffprobe_only
916258656,108,32950284,2,43fc65_refined_rank02_supp9_video_01F67B47_022A1F33.pss,32930631,36314931,19653,101.957,ffprobe_only
942622176,108,7265636,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,13923,108.062,safe_playable
945069609,108,10984204,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3732491,-345.864,safe_playable
945209494,108,10382898,5,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,7251713,12099717,3131185,-272.463,safe_playable
945360561,136,30178379,4,43fc65_refined_rank04_supp7_video_01C6BF05_01CC9B0C.pss,29802245,30186252,376134,72.619,rejected
946021097,108,213439963,7,43fc65_refined_rank07_supp6_audio-video_0CB8B009_0D8F0071.pss,213430281,227475569,9682,204.068,aggressive_blob
